#OTU ID,Abundance,Percentage
Geobacter,19.315607982122838,1.101571087423651
Proteiniphilum,14.777342587660701,0.8427533504815001
Acinetobacter,12.9055904168921,0.7360071338441845
Methanothrix_B,11.892041004562332,0.6782043077912301
Bact-08,11.362482031151838,0.6480035056868048
Syntrophosphaera,11.251823150577902,0.6416926184747772
Clostridium_T,10.374290247952157,0.5916468278017551
Trichococcus,9.340064911320784,0.5326648516833464
Competibacter_A,8.66020602997465,0.49389243054536164
Novosphingobium,8.081339775540169,0.4608796291900834
Mycobacterium,7.512934326628509,0.4284634086375304
Ignavibacterium,7.464614948052719,0.425707749563758
Desulfovibrio_446353,7.340231864197108,0.4186141696429631
,7.31364315156979,0.4170978126580223
Comamonas_F_589250,6.828755211229185,0.38944460411216786
Dysgonomonas,6.652683792616538,0.3794032332039951
Aliarcobacter_475806,6.59202566137438,0.3759438938109325
Parvibacillus,6.533685243926969,0.3726167338712726
Zoogloea,6.295176068295137,0.3590145313310034
,6.214466365329302,0.3544116487634963
Azonexus,6.1241119808988325,0.34925872903129385
Anaerovorax,6.088911628137142,0.3472512493337726
Nocardioides_A_392796,5.929876086913786,0.3381814362454885
Contendobacter,5.905716652636482,0.3368036212518823
Syner-03,5.8423615936095805,0.33319047579300537
Microbacter,5.832516952812232,0.3326290349272316
Macellibacteroides,5.7471354035202,0.32775971648866165
Desulfobulbus,5.683576682987782,0.3241349561934148
Methanosarcina_2619,5.523888911534643,0.315027946348801
,5.361969659214918,0.3057936749234466
Acetobacterium,5.346939792000918,0.3049365200678457
T78,5.346855653702378,0.304931721652124
SR-FBR-E99,5.247165326466211,0.2992463721523411
Ottowia_589937,5.150138990932224,0.29371295037023476
Streptococcus,5.02905854365074,0.2868077201491072
Rectinema,5.021882915217996,0.2863984933298986
,4.967805882165156,0.2833144746358044
Mariniphaga,4.935235457706177,0.28145698001682407
Pseudomonas_E_647464,4.804986942498703,0.2740288939495769
Oryzomonas,4.775009693649857,0.2723192883993424
Desulfomicrobium,4.76551414295561,0.2717777561776474
JALNZU01,4.713517484137271,0.2688123814377
SFMI01,4.710142974013346,0.2686199327821787
Rhodococcus_376336,4.675078120244511,0.2666201806059989
UBA6170,4.4478029864431265,0.25365865661370923
GW-Nitrospira-1,4.412842885874953,0.25166487852321545
RUG472,4.4114811244532515,0.25158721713085835
UTCFX2,4.3216501352992935,0.24646414668449945
Bifidobacterium_388775,4.306897880558187,0.2456228240964581
Lentimicrobium,4.302945140941632,0.24539739895417212
Sedimentibacter,4.274370216461921,0.24376776810531153
Vicinibacter,4.072379209843291,0.232248200457396
Holophaga,4.02225645664989,0.22938969474579615
Longivirga,4.022223163964681,0.22938779606057313
Acidaminococcus,4.007059475975679,0.22852300939256573
Thiobacillus,3.9719192169058624,0.22651895684440293
Limnohabitans_A,3.9407427671382806,0.22474096074382616
Acetoanaerobium,3.935621571788539,0.2244488984522563
Azospira_A,3.926142421318296,0.223908301537004
Thauera,3.8290280637400063,0.21836985984876012
Dietzia,3.719900326005131,0.2121462938685461
Faecousia,3.695222923809723,0.21073893911189825
OLB9,3.6825568996663187,0.21001659446699253
Aquihabitans,3.630383186398992,0.20704112229381466
Turicibacter,3.595515103561138,0.2050525919838383
UBA1412,3.5851833491309884,0.20446337097805128
,3.5655947063735303,0.2033462286896254
Brevundimonas,3.554841034433173,0.20273294568532643
Methylotenera_A_557637,3.544202259537971,0.20212621527119662
Flavobacterium,3.48261307867214,0.19861377802341762
RHKY01,3.4262604501900644,0.19539998189058894
Methanobrevibacter_A,3.4236049529123087,0.19524853861080116
VBCG01,3.415890214780536,0.19480856631063484
Simplicispira_589439,3.398290072477988,0.19380482840536295
Aeromonas,3.352096634837912,0.19117041195934112
Cupidesulfovibrio,3.3397943502698575,0.19046881141940628
Dokdonella_A,3.3341904189520988,0.190149218646491
Ottowia_586836,3.32782942629217,0.18978645058824625
Cloacibacillus,3.281473013460778,0.18714273965049072
LD21,3.2031824179922603,0.18267781902955452
Cloacimonas,3.1600991940649656,0.18022077838785006
UBA412,3.1417778818536903,0.17917591208934772
Stenotrophomonas_A_615274,3.131983451511337,0.1786173347309282
Paracoccus,3.123310697097422,0.17812272666477066
VXPC01,3.065167977215088,0.17480684143735098
Phycicoccus_A_390428,3.008147703636484,0.17155496943677448
Methanoperedens_A,2.990369329701486,0.17054106696337962
Proteiniclasticum,2.989426301619586,0.17048728597597237
UBA4782,2.9689841412487628,0.1693214674912621
Ornithinibacter,2.967584450409068,0.16924164298033978
2011-GWC2-44-17,2.9643450740488126,0.1690569010171024
Methyloversatilis,2.9274784851128226,0.1669543957011214
PIVM01,2.9132001718923712,0.16614010204619808
UBA2256,2.8961756037737096,0.16516918919516338
Bacteroides_H_857956,2.890348989669237,0.16483689680027722
Accumulibacter,2.86644121576144,0.16347343402313524
Hydrogenophaga_590439,2.8582971505910493,0.16300897715829826
,2.849915982837966,0.1625309983090594
Solidesulfovibrio,2.84811345992557,0.16242820024406704
Sphaerochaeta,2.8452027631297607,0.1622622029098134
Microthrix,2.841238583885814,0.16203612536441395
UBA1444,2.8242923816977017,0.16106968173036745
Phenylobacterium,2.8077761363805354,0.16012775858039333
Usitatibacter,2.782842594463148,0.15870579614935412
