Pathway ID,Raw Abundance,Relative Abundance (%)
1CMET2-PWY,52282.47311164065,0.47829576127766116
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY,1842.2058603956732,0.016853052313470934
AEROBACTINSYN-PWY,35.90400205711052,0.0003284605906103721
ALL-CHORISMATE-PWY,9792.146451822025,0.08958149572832234
ANAEROFRUCAT-PWY,48874.10203845008,0.44711495937321805
ANAGLYCOLYSIS-PWY,74751.78656505687,0.6838517869201303
ARG+POLYAMINE-SYN,24346.440278451217,0.22272854542510598
ARGDEG-PWY,224.54579027105788,0.002054212306867276
ARGORNPROST-PWY,13209.010263277098,0.12083999175226282
ARGSYN-PWY,64152.77065283961,0.586888807114202
ARGSYNBSUB-PWY,69861.73500774252,0.6391161270882328
ARO-PWY,70073.28422823771,0.6410514428727097
ASPASN-PWY,20781.36523849291,0.19011416858398456
AST-PWY,4295.780539543285,0.039299090137821936
BENZCOA-PWY,0.0,0.0
BIOTIN-BIOSYNTHESIS-PWY,32985.8748134254,0.30176468644870197
BRANCHED-CHAIN-AA-SYN-PWY,87489.23167379198,0.8003777590562579
CALVIN-PWY,74933.88857495818,0.6855177107808847
CATECHOL-ORTHO-CLEAVAGE-PWY,2967.316233562227,0.02714589980953314
CENTBENZCOA-PWY,122.7541000498428,0.0011229913628592561
CENTFERM-PWY,18663.878675032964,0.17074276574880004
CHLOROPHYLL-SYN,369.3772912764072,0.0033791743621705947
COA-PWY,68720.44813829598,0.6286752921473816
COBALSYN-PWY,37887.47777382673,0.3466060219842241
CODH-PWY,24032.14722518283,0.21985329821068503
COLANSYN-PWY,44900.68715341649,0.41076496702968457
COMPLETE-ARO-PWY,74410.62010342295,0.6807306936975284
CRNFORCAT-PWY,362.7602731838108,0.0033186398939707385
DAPLYSINESYN-PWY,54016.74221817575,0.49416137575996166
DENITRIFICATION-PWY,4055.6581740896254,0.037102378644484416
DENOVOPURINE2-PWY,57682.44198419922,0.5276962978066231
DHGLUCONATE-PYR-CAT-PWY,1620.8711065526516,0.014828215531926614
DTDPRHAMSYN-PWY,69465.48642740492,0.6354911261059137
ECASYN-PWY,45.36320911030719,0.00041499625675858254
ENTBACSYN-PWY,3185.3010767900623,0.029140090602994967
FAO-PWY,50156.06138415654,0.4588427083622988
FASYN-ELONG-PWY,68506.97345478956,0.6267223616491785
FASYN-INITIAL-PWY,32099.63754306418,0.29365712181619263
FERMENTATION-PWY,36658.80394152703,0.3353657448701929
FOLSYN-PWY,52615.13265616961,0.48133903066847605
FUC-RHAMCAT-PWY,734.5174305494957,0.0067195859856553405
FUCCAT-PWY,938.9557200243684,0.008589848838177441
GALACT-GLUCUROCAT-PWY,4069.8396752223384,0.03723211527469024
GALACTARDEG-PWY,384.3695855911826,0.003516328371837894
GALACTUROCAT-PWY,7699.962805282343,0.07044157157405409
GALLATE-DEGRADATION-I-PWY,1361.123440677113,0.012451965898043569
GALLATE-DEGRADATION-II-PWY,289.40820719379855,0.002647593171122222
GLCMANNANAUT-PWY,1574.6610554226752,0.014405472110116856
GLUCARDEG-PWY,388.0969105637439,0.0035504270597762713
GLUCARGALACTSUPER-PWY,384.3695855911826,0.003516328371837894
GLUCONEO-PWY,62248.24635422226,0.5694656470174358
GLUCOSE1PMETAB-PWY,12168.225683971421,0.111318581936356
GLUCUROCAT-PWY,4831.346495784166,0.04419860830345357
GLUTORN-PWY,64122.09761799913,0.5866082009822312
GLYCOCAT-PWY,47768.4760384605,0.43700036077295307
GLYCOGENSYNTH-PWY,51859.60665354757,0.47442725195790236
GLYCOL-GLYOXDEG-PWY,525.7319383105457,0.004809553617046408
GLYCOLYSIS,71513.97274311617,0.6542312939581082
GLYCOLYSIS-E-D,45117.398164867176,0.41274750442759467
GLYCOLYSIS-TCA-GLYOX-BYPASS,45587.70907738695,0.4170500498611379
GLYOXYLATE-BYPASS,27689.254754170666,0.2533096158932174
GOLPDLCAT-PWY,1566.1010563460532,0.01432716266851591
HCAMHPDEG-PWY,140.177051431607,0.0012823817531541096
HEME-BIOSYNTHESIS-II,30339.401361362132,0.2775539527339288
HEMESYN2-PWY,53638.740773387995,0.49070330505215964
HEXITOLDEGSUPER-PWY,8450.826968115414,0.07731070237457081
HISDEG-PWY,26556.69418745239,0.24294861178970323
HISTSYN-PWY,64975.34054201496,0.5944139234281739
HOMOSER-METSYN-PWY,23189.196718085102,0.21214173388489707
HSERMETANA-PWY,39524.446326889425,0.36158150178991044
ILEUSYN-PWY,88586.43077884043,0.8104152658915164
KDO-NAGLIPASYN-PWY,4710.906656763857,0.04309678849532457
KETOGLUCONMET-PWY,601.4566148782791,0.005502305693810823
LACTOSECAT-PWY,902.6292732349593,0.008257523596321498
LEU-DEG2-PWY,25064.933128505534,0.22930153373718287
LIPASYN-PWY,43.70743872798965,0.00039984877217382505
LPSSYN-PWY,91.43917193819365,0.0008365129985222473
MET-SAM-PWY,34328.59001325987,0.31404824823263994
METH-ACETATE-PWY,20712.629563046492,0.18948535398785063
METHANOGENESIS-PWY,4021.704845100612,0.036791763396769685
METHGLYUT-PWY,108.01812197638233,0.0009881822111237114
METHYLGALLATE-DEGRADATION-PWY,1688.9907263159603,0.015451394265707331
NAD-BIOSYNTHESIS-II,6515.056840583432,0.05960169605366821
NADSYN-PWY,5367.176018177527,0.049100537651381004
NAGLIPASYN-PWY,38817.41737789672,0.3551133886866587
NONMEVIPP-PWY,55461.665410865084,0.5073799669493908
NONOXIPENT-PWY,81714.72800655657,0.7475508657755331
OANTIGEN-PWY,64752.41379935402,0.5923745226549456
ORNARGDEG-PWY,224.54579027105788,0.002054212306867276
ORNDEG-PWY,385.39617151525226,0.003525719888092707
P101-PWY,2778.3719393886945,0.02541738067793378
P105-PWY,56500.69375345132,0.5168853101844968
P108-PWY,58581.57009439605,0.5359217917122852
P122-PWY,10865.416193358136,0.09940008956163505
P124-PWY,12810.800021766367,0.11719704490456426
P125-PWY,2748.5571618201448,0.025144626141169173
P161-PWY,27029.096835581448,0.2472702930486214
P162-PWY,2384.0505643718066,0.021810010348511388
P163-PWY,3379.6669093172,0.030918207595211907
P164-PWY,25630.785481343435,0.2344781209520501
P184-PWY,1666.971296967814,0.015249953914932753
P221-PWY,6832.317873412229,0.06250409523621187
P23-PWY,62901.51824517465,0.5754419744137541
P241-PWY,3793.3883365657575,0.034703055427107436
P261-PWY,805.849273763982,0.007372151104003102
P281-PWY,2364.1815231740743,0.0216282423941678
P341-PWY,4511.280852181678,0.04127055169949785
P381-PWY,6550.257208551971,0.059923719588377736
P4-PWY,43332.95879625348,0.3964229173247155
P42-PWY,84708.34190285293,0.7749373444993495
P441-PWY,4786.206561338064,0.04378565463035896
P461-PWY,6616.30670446703,0.06052796020766214
P562-PWY,2516.724354363865,0.023023750013242656
P621-PWY,92.6991397062777,0.0008480395619565027
PANTO-PWY,59771.092925828765,0.5468039037157166
PANTOSYN-PWY,59609.39481751594,0.5453246408727463
PENTOSE-P-PWY,43847.43345435435,0.401129485962526
PEPTIDOGLYCANSYN-PWY,67100.23342179382,0.6138530814687109
